date,machine_id,shift_id,disponibilite,performance,qualite,oee,temps_requis_min,temps_marche_min,temps_arret_min,production_theorique,production_reelle,production_conforme,rebuts,mois,semaine,jour_semaine
2024-01-05,M02,S2,0.8371,0.8023,0.9448,0.6345,480,401.8,78.2,800,641,605,36,2024-01,2024-W01,Friday
2024-01-05,M02,S3,0.849,0.8226,0.9443,0.6595,480,407.5,72.5,800,658,621,37,2024-01,2024-W01,Friday
2024-01-05,M03,S1,0.7573,0.7498,0.9229,0.524,480,363.5,116.5,1600,1199,1106,93,2024-01,2024-W01,Friday
2024-01-05,M03,S2,0.8025,0.91,0.9479,0.6923,480,385.2,94.8,1600,1456,1380,76,2024-01,2024-W01,Friday
2024-01-05,M03,S3,0.6281,0.7645,0.9285,0.4459,480,301.5,178.5,1600,1223,1135,88,2024-01,2024-W01,Friday
2024-01-05,M04,S1,0.9375,0.9644,0.999,0.9032,480,450.0,30.0,640,617,616,1,2024-01,2024-W01,Friday
2024-01-05,M04,S2,0.9392,0.9793,0.9914,0.9119,480,450.8,29.2,640,626,620,6,2024-01,2024-W01,Friday
2024-01-05,M04,S3,0.9416,0.9445,0.9891,0.8797,480,452.0,28.0,640,604,597,7,2024-01,2024-W01,Friday
2024-01-05,M05,S1,0.7457,0.8807,0.9184,0.6031,480,357.9,122.1,1200,1056,969,87,2024-01,2024-W01,Friday
2024-01-05,M05,S2,0.797,0.99,0.8852,0.6984,480,382.5,97.5,1200,1188,1051,137,2024-01,2024-W01,Friday
2024-01-05,M05,S3,0.8332,0.8147,0.9187,0.6236,480,400.0,80.0,1200,977,897,80,2024-01,2024-W01,Friday
2024-01-06,M01,S1,0.937,0.9152,0.9384,0.8047,480,449.8,30.2,960,878,823,55,2024-01,2024-W01,Saturday
2024-01-06,M01,S2,0.8468,0.9398,0.9454,0.7523,480,406.5,73.5,960,902,852,50,2024-01,2024-W01,Saturday
2024-01-06,M02,S1,0.8377,0.8751,0.9218,0.6758,480,402.1,77.9,800,700,645,55,2024-01,2024-W01,Saturday
2024-01-06,M02,S2,0.9727,0.9081,0.8833,0.7802,480,466.9,13.1,800,726,641,85,2024-01,2024-W01,Saturday
2024-01-06,M03,S1,0.7694,0.7849,0.9407,0.5681,480,369.3,110.7,1600,1255,1180,75,2024-01,2024-W01,Saturday
2024-01-06,M03,S2,0.6813,0.8243,0.9282,0.5212,480,327.0,153.0,1600,1318,1223,95,2024-01,2024-W01,Saturday
2024-01-06,M04,S1,0.9486,0.9238,0.976,0.8552,480,455.3,24.7,640,591,576,15,2024-01,2024-W01,Saturday
2024-01-06,M04,S2,0.9083,0.9369,0.999,0.8502,480,436.0,44.0,640,599,598,1,2024-01,2024-W01,Saturday
2024-01-06,M05,S1,0.8169,0.8321,0.952,0.6471,480,392.1,87.9,1200,998,950,48,2024-01,2024-W01,Saturday
2024-01-06,M05,S2,0.9199,0.9421,0.8935,0.7744,480,441.6,38.4,1200,1130,1009,121,2024-01,2024-W01,Saturday
2024-01-08,M01,S1,0.8594,0.9643,0.9458,0.7838,480,412.5,67.5,960,925,874,51,2024-01,2024-W02,Monday
2024-01-08,M01,S2,0.9058,0.9446,0.9415,0.8055,480,434.8,45.2,960,906,852,54,2024-01,2024-W02,Monday
2024-01-08,M01,S3,0.8806,0.784,0.9395,0.6486,480,422.7,57.3,960,752,706,46,2024-01,2024-W02,Monday
2024-01-08,M02,S1,0.8059,0.8037,0.9857,0.6385,480,386.8,93.2,800,642,632,10,2024-01,2024-W02,Monday
2024-01-08,M02,S2,0.7235,0.849,0.9437,0.5796,480,347.3,132.7,800,679,640,39,2024-01,2024-W02,Monday
2024-01-08,M02,S3,0.9245,0.7932,0.9726,0.7132,480,443.8,36.2,800,634,616,18,2024-01,2024-W02,Monday
2024-01-08,M03,S1,0.7545,0.7629,0.9266,0.5334,480,362.2,117.8,1600,1220,1130,90,2024-01,2024-W02,Monday
2024-01-08,M03,S2,0.7715,0.7904,0.9125,0.5565,480,370.3,109.7,1600,1264,1153,111,2024-01,2024-W02,Monday
2024-01-08,M03,S3,0.7189,0.8418,0.9338,0.5651,480,345.1,134.9,1600,1346,1256,90,2024-01,2024-W02,Monday
2024-01-08,M04,S1,0.9712,0.9239,0.999,0.8964,480,466.2,13.8,640,591,590,1,2024-01,2024-W02,Monday
2024-01-08,M04,S2,0.865,0.95,0.9871,0.8111,480,415.2,64.8,640,607,599,8,2024-01,2024-W02,Monday
2024-01-08,M04,S3,0.634,0.9387,0.9775,0.5817,480,304.3,175.7,640,600,586,14,2024-01,2024-W02,Monday
2024-01-08,M05,S1,0.764,0.8653,0.9504,0.6283,480,366.7,113.3,1200,1038,986,52,2024-01,2024-W02,Monday
2024-01-08,M05,S2,0.815,0.8603,0.9516,0.6673,480,391.2,88.8,1200,1032,982,50,2024-01,2024-W02,Monday
2024-01-08,M05,S3,0.812,0.9326,0.9451,0.7158,480,389.8,90.2,1200,1119,1057,62,2024-01,2024-W02,Monday
2024-01-09,M01,S1,0.8427,0.8917,0.9749,0.7326,480,404.5,75.5,960,856,834,22,2024-01,2024-W02,Tuesday
2024-01-09,M01,S2,0.9146,0.9133,0.9623,0.8039,480,439.0,41.0,960,876,843,33,2024-01,2024-W02,Tuesday
2024-01-09,M01,S3,0.948,0.8905,0.9709,0.8196,480,455.0,25.0,960,854,829,25,2024-01,2024-W02,Tuesday
2024-01-09,M02,S1,0.81,0.8619,0.9708,0.6777,480,388.8,91.2,800,689,668,21,2024-01,2024-W02,Tuesday
2024-01-09,M02,S2,0.8819,0.9197,0.9766,0.792,480,423.3,56.7,800,735,717,18,2024-01,2024-W02,Tuesday
2024-01-09,M02,S3,0.8256,0.9123,0.9313,0.7015,480,396.3,83.7,800,729,678,51,2024-01,2024-W02,Tuesday
2024-01-09,M03,S1,0.7833,0.8247,0.9135,0.5901,480,376.0,104.0,1600,1319,1204,115,2024-01,2024-W02,Tuesday
2024-01-09,M03,S2,0.8077,0.7752,0.9853,0.6169,480,387.7,92.3,1600,1240,1221,19,2024-01,2024-W02,Tuesday
2024-01-09,M03,S3,0.6636,0.7467,0.9517,0.4716,480,318.5,161.5,1600,1194,1136,58,2024-01,2024-W02,Tuesday
2024-01-09,M04,S1,0.9479,0.9691,0.9875,0.9071,480,455.0,25.0,640,620,612,8,2024-01,2024-W02,Tuesday
2024-01-09,M04,S2,0.9238,0.9326,0.9809,0.845,480,443.4,36.6,640,596,584,12,2024-01,2024-W02,Tuesday
2024-01-09,M04,S3,0.9038,0.9775,0.9782,0.8643,480,433.8,46.2,640,625,611,14,2024-01,2024-W02,Tuesday
2024-01-09,M05,S1,0.7446,0.8787,0.9399,0.6149,480,357.4,122.6,1200,1054,990,64,2024-01,2024-W02,Tuesday
2024-01-09,M05,S2,0.7603,0.8547,0.9358,0.6081,480,364.9,115.1,1200,1025,959,66,2024-01,2024-W02,Tuesday
2024-01-09,M05,S3,0.8088,0.8698,0.9187,0.6463,480,388.2,91.8,1200,1043,958,85,2024-01,2024-W02,Tuesday
2024-01-10,M01,S1,0.8962,0.8567,0.9319,0.7155,480,430.2,49.8,960,822,765,57,2024-01,2024-W02,Wednesday
2024-01-10,M01,S2,0.8487,0.9061,0.9662,0.743,480,407.4,72.6,960,869,839,30,2024-01,2024-W02,Wednesday
2024-01-10,M01,S3,0.9584,0.9489,0.9568,0.8702,480,460.0,20.0,960,910,870,40,2024-01,2024-W02,Wednesday
2024-01-10,M02,S1,0.8233,0.8185,0.9395,0.6331,480,395.2,84.8,800,654,614,40,2024-01,2024-W02,Wednesday
2024-01-10,M02,S2,0.4674,0.8927,0.9168,0.3826,480,224.4,255.6,800,714,654,60,2024-01,2024-W02,Wednesday
2024-01-10,M02,S3,0.6305,0.9605,0.937,0.5674,480,302.6,177.4,800,768,719,49,2024-01,2024-W02,Wednesday
2024-01-10,M03,S1,0.7908,0.8843,0.8956,0.6263,480,379.6,100.4,1600,1414,1266,148,2024-01,2024-W02,Wednesday
2024-01-10,M03,S2,0.7748,0.8355,0.9135,0.5914,480,371.9,108.1,1600,1336,1220,116,2024-01,2024-W02,Wednesday
2024-01-10,M03,S3,0.6851,0.8364,0.9279,0.5317,480,328.8,151.2,1600,1338,1241,97,2024-01,2024-W02,Wednesday
2024-01-10,M04,S1,0.9682,0.9777,0.999,0.9456,480,464.7,15.3,640,625,624,1,2024-01,2024-W02,Wednesday
2024-01-10,M04,S2,0.9016,0.9756,0.9822,0.8639,480,432.8,47.2,640,624,612,12,2024-01,2024-W02,Wednesday
2024-01-10,M04,S3,0.99,0.9352,0.9699,0.898,480,475.2,4.8,640,598,580,18,2024-01,2024-W02,Wednesday
2024-01-10,M05,S1,0.7587,0.7927,0.9174,0.5517,480,364.2,115.8,1200,951,872,79,2024-01,2024-W02,Wednesday
2024-01-10,M05,S2,0.7491,0.9018,0.9382,0.6338,480,359.6,120.4,1200,1082,1015,67,2024-01,2024-W02,Wednesday
2024-01-10,M05,S3,0.9072,0.9402,0.9162,0.7815,480,435.5,44.5,1200,1128,1033,95,2024-01,2024-W02,Wednesday
2024-01-11,M01,S1,0.8402,0.9348,0.9336,0.7333,480,403.3,76.7,960,897,837,60,2024-01,2024-W02,Thursday
2024-01-11,M01,S2,0.9767,0.9623,0.9506,0.8935,480,468.8,11.2,960,923,877,46,2024-01,2024-W02,Thursday
2024-01-11,M01,S3,0.7995,0.9693,0.9577,0.7422,480,383.8,96.2,960,930,890,40,2024-01,2024-W02,Thursday
2024-01-11,M02,S1,0.9118,0.7859,0.9232,0.6615,480,437.7,42.3,800,628,579,49,2024-01,2024-W02,Thursday
2024-01-11,M02,S2,0.8255,0.8778,0.9274,0.672,480,396.2,83.8,800,702,651,51,2024-01,2024-W02,Thursday
2024-01-11,M02,S3,0.8687,0.8154,0.936,0.663,480,417.0,63.0,800,652,610,42,2024-01,2024-W02,Thursday
2024-01-11,M03,S1,0.766,0.8722,0.9356,0.625,480,367.7,112.3,1600,1395,1305,90,2024-01,2024-W02,Thursday
2024-01-11,M03,S2,0.6539,0.7247,0.956,0.453,480,313.9,166.1,1600,1159,1107,52,2024-01,2024-W02,Thursday
2024-01-11,M03,S3,0.785,0.7812,0.9658,0.5924,480,376.8,103.2,1600,1249,1206,43,2024-01,2024-W02,Thursday
2024-01-11,M04,S1,0.9286,0.9834,0.9808,0.8957,480,445.7,34.3,640,629,616,13,2024-01,2024-W02,Thursday
2024-01-11,M04,S2,0.987,0.99,0.977,0.9546,480,473.7,6.3,640,633,618,15,2024-01,2024-W02,Thursday
2024-01-11,M04,S3,0.9543,0.9706,0.9964,0.9229,480,458.1,21.9,640,621,618,3,2024-01,2024-W02,Thursday
2024-01-11,M05,S1,0.7372,0.9281,0.9554,0.6537,480,353.9,126.1,1200,1113,1063,50,2024-01,2024-W02,Thursday
2024-01-11,M05,S2,0.6896,0.8383,0.8811,0.5094,480,331.0,149.0,1200,1006,886,120,2024-01,2024-W02,Thursday
2024-01-11,M05,S3,0.779,0.9296,0.9661,0.6995,480,373.9,106.1,1200,1115,1077,38,2024-01,2024-W02,Thursday
2024-01-12,M01,S1,0.8894,0.9808,0.9324,0.8133,480,426.9,53.1,960,941,877,64,2024-01,2024-W02,Friday
2024-01-12,M01,S2,0.8005,0.9134,0.9677,0.7075,480,384.2,95.8,960,876,847,29,2024-01,2024-W02,Friday
2024-01-12,M01,S3,0.884,0.8329,0.9582,0.7056,480,424.3,55.7,960,799,765,34,2024-01,2024-W02,Friday
2024-01-12,M02,S1,0.7343,0.9131,0.9503,0.6372,480,352.5,127.5,800,730,693,37,2024-01,2024-W02,Friday
2024-01-12,M02,S2,0.7599,0.8469,0.9103,0.5858,480,364.7,115.3,800,677,616,61,2024-01,2024-W02,Friday
2024-01-12,M02,S3,0.8213,0.9291,0.9124,0.6962,480,394.2,85.8,800,743,677,66,2024-01,2024-W02,Friday
2024-01-12,M03,S1,0.801,0.7975,0.8815,0.5631,480,384.5,95.5,1600,1275,1123,152,2024-01,2024-W02,Friday
2024-01-12,M03,S2,0.746,0.7611,0.8901,0.5054,480,358.1,121.9,1600,1217,1083,134,2024-01,2024-W02,Friday
2024-01-12,M03,S3,0.6478,0.9771,0.9113,0.5768,480,311.0,169.0,1600,1563,1424,139,2024-01,2024-W02,Friday
2024-01-12,M04,S1,0.9047,0.9608,0.9787,0.8506,480,434.2,45.8,640,614,600,14,2024-01,2024-W02,Friday
2024-01-12,M04,S2,0.919,0.9704,0.9891,0.8821,480,441.1,38.9,640,621,614,7,2024-01,2024-W02,Friday
2024-01-12,M04,S3,0.9097,0.9418,0.9767,0.8368,480,436.7,43.3,640,602,587,15,2024-01,2024-W02,Friday
2024-01-12,M05,S1,0.6575,0.8229,0.9628,0.521,480,315.6,164.4,1200,987,950,37,2024-01,2024-W02,Friday
2024-01-12,M05,S2,0.8943,0.8837,0.9438,0.7459,480,429.3,50.7,1200,1060,1000,60,2024-01,2024-W02,Friday
2024-01-12,M05,S3,0.8143,0.99,0.9569,0.7714,480,390.9,89.1,1200,1188,1136,52,2024-01,2024-W02,Friday
2024-01-13,M01,S1,0.8798,0.8779,0.9279,0.7167,480,422.3,57.7,960,842,781,61,2024-01,2024-W02,Saturday
2024-01-13,M01,S2,0.8963,0.8859,0.9316,0.7397,480,430.2,49.8,960,850,791,59,2024-01,2024-W02,Saturday
2024-01-13,M02,S1,0.7809,0.8156,0.9872,0.6288,480,374.8,105.2,800,652,643,9,2024-01,2024-W02,Saturday
2024-01-13,M02,S2,0.8879,0.8757,0.9814,0.7631,480,426.2,53.8,800,700,687,13,2024-01,2024-W02,Saturday
2024-01-13,M03,S1,0.7631,0.7741,0.9648,0.57,480,366.3,113.7,1600,1238,1194,44,2024-01,2024-W02,Saturday
2024-01-13,M03,S2,0.8047,0.7615,0.9031,0.5534,480,386.2,93.8,1600,1218,1100,118,2024-01,2024-W02,Saturday
2024-01-13,M04,S1,0.8999,0.923,0.9911,0.8232,480,431.9,48.1,640,590,584,6,2024-01,2024-W02,Saturday
2024-01-13,M04,S2,0.9834,0.9226,0.9868,0.8953,480,472.0,8.0,640,590,582,8,2024-01,2024-W02,Saturday
2024-01-13,M05,S1,0.7571,0.8728,0.9158,0.6051,480,363.4,116.6,1200,1047,958,89,2024-01,2024-W02,Saturday
2024-01-13,M05,S2,0.7443,0.8985,0.9101,0.6086,480,357.3,122.7,1200,1078,981,97,2024-01,2024-W02,Saturday
2024-01-15,M01,S1,0.9007,0.9152,0.9552,0.7874,480,432.3,47.7,960,878,838,40,2024-01,2024-W03,Monday
2024-01-15,M01,S2,0.8418,0.8941,0.9751,0.7339,480,404.1,75.9,960,858,836,22,2024-01,2024-W03,Monday
2024-01-15,M01,S3,0.9122,0.8781,0.962,0.7705,480,437.9,42.1,960,842,809,33,2024-01,2024-W03,Monday
2024-01-15,M02,S1,0.8798,0.7837,0.9552,0.6586,480,422.3,57.7,800,626,597,29,2024-01,2024-W03,Monday
2024-01-15,M02,S2,0.7808,0.9091,0.9186,0.6521,480,374.8,105.2,800,727,667,60,2024-01,2024-W03,Monday
2024-01-15,M02,S3,0.7008,0.786,0.9413,0.5185,480,336.4,143.6,800,628,591,37,2024-01,2024-W03,Monday
2024-01-15,M03,S1,0.7805,0.772,0.933,0.5622,480,374.7,105.3,1600,1235,1152,83,2024-01,2024-W03,Monday
2024-01-15,M03,S2,0.6076,0.8324,0.8664,0.4382,480,291.7,188.3,1600,1331,1153,178,2024-01,2024-W03,Monday
2024-01-15,M03,S3,0.6985,0.8406,0.879,0.5161,480,335.3,144.7,1600,1344,1181,163,2024-01,2024-W03,Monday
2024-01-15,M04,S1,0.9156,0.9813,0.9731,0.8743,480,439.5,40.5,640,628,611,17,2024-01,2024-W03,Monday
2024-01-15,M04,S2,0.9522,0.93,0.9864,0.8735,480,457.1,22.9,640,595,586,9,2024-01,2024-W03,Monday
2024-01-15,M04,S3,0.9704,0.8978,0.9704,0.8455,480,465.8,14.2,640,574,557,17,2024-01,2024-W03,Monday
2024-01-15,M05,S1,0.8318,0.8874,0.9389,0.693,480,399.3,80.7,1200,1064,998,66,2024-01,2024-W03,Monday
2024-01-15,M05,S2,0.7609,0.9013,0.9263,0.6353,480,365.2,114.8,1200,1081,1001,80,2024-01,2024-W03,Monday
2024-01-15,M05,S3,0.8672,0.9094,0.9381,0.7398,480,416.3,63.7,1200,1091,1023,68,2024-01,2024-W03,Monday
2024-01-16,M01,S1,0.8671,0.8982,0.9513,0.7409,480,416.2,63.8,960,862,820,42,2024-01,2024-W03,Tuesday
2024-01-16,M01,S2,0.9074,0.9008,0.9658,0.7894,480,435.5,44.5,960,864,834,30,2024-01,2024-W03,Tuesday
2024-01-16,M01,S3,0.99,0.9525,0.9535,0.8991,480,475.2,4.8,960,914,871,43,2024-01,2024-W03,Tuesday
2024-01-16,M02,S1,0.9117,0.8548,0.8829,0.6881,480,437.6,42.4,800,683,603,80,2024-01,2024-W03,Tuesday
2024-01-16,M02,S2,0.7571,0.7729,0.9302,0.5443,480,363.4,116.6,800,618,574,44,2024-01,2024-W03,Tuesday
2024-01-16,M02,S3,0.8289,0.9715,0.9492,0.7644,480,397.9,82.1,800,777,737,40,2024-01,2024-W03,Tuesday
2024-01-16,M03,S1,0.7379,0.8974,0.8304,0.5499,480,354.2,125.8,1600,1435,1191,244,2024-01,2024-W03,Tuesday
2024-01-16,M03,S2,0.7789,0.8932,0.8568,0.596,480,373.9,106.1,1600,1429,1224,205,2024-01,2024-W03,Tuesday
2024-01-16,M03,S3,0.8606,0.862,0.895,0.664,480,413.1,66.9,1600,1379,1234,145,2024-01,2024-W03,Tuesday
2024-01-16,M04,S1,0.9466,0.99,0.9822,0.9205,480,454.4,25.6,640,633,621,12,2024-01,2024-W03,Tuesday
2024-01-16,M04,S2,0.9351,0.9466,0.9698,0.8585,480,448.9,31.1,640,605,586,19,2024-01,2024-W03,Tuesday
2024-01-16,M04,S3,0.9526,0.9371,0.9809,0.8756,480,457.2,22.8,640,599,587,12,2024-01,2024-W03,Tuesday
2024-01-16,M05,S1,0.769,0.9207,0.938,0.6641,480,369.1,110.9,1200,1104,1035,69,2024-01,2024-W03,Tuesday
2024-01-16,M05,S2,0.8599,0.8732,0.9235,0.6934,480,412.8,67.2,1200,1047,966,81,2024-01,2024-W03,Tuesday
2024-01-16,M05,S3,0.7389,0.8763,0.9391,0.6081,480,354.7,125.3,1200,1051,986,65,2024-01,2024-W03,Tuesday
2024-01-17,M01,S1,0.926,0.8813,0.9774,0.7976,480,444.5,35.5,960,846,826,20,2024-01,2024-W03,Wednesday
2024-01-17,M01,S2,0.9559,0.9347,0.9975,0.8913,480,458.9,21.1,960,897,894,3,2024-01,2024-W03,Wednesday
2024-01-17,M01,S3,0.8495,0.8684,0.9244,0.6819,480,407.7,72.3,960,833,770,63,2024-01,2024-W03,Wednesday
2024-01-17,M02,S1,0.9329,0.9148,0.9384,0.8009,480,447.8,32.2,800,731,686,45,2024-01,2024-W03,Wednesday
