arret_id,date,machine_id,shift_id,cause_id,duree_minutes,mois
AR00039,2024-01-02,M01,S3,CA02,38.3,2024-01
AR00040,2024-01-02,M01,S3,CA06,28.3,2024-01
AR00041,2024-01-02,M02,S1,CA04,51.5,2024-01
AR00042,2024-01-02,M02,S2,CA05,85.2,2024-01
AR00043,2024-01-02,M02,S2,CA05,11.3,2024-01
AR00044,2024-01-02,M02,S3,CA01,42.9,2024-01
AR00045,2024-01-02,M02,S3,CA06,57.5,2024-01
AR00046,2024-01-02,M03,S1,CA04,171.4,2024-01
AR00047,2024-01-02,M03,S2,CA01,112.4,2024-01
AR00048,2024-01-02,M03,S2,CA06,8.8,2024-01
AR00049,2024-01-02,M03,S3,CA01,20.5,2024-01
AR00050,2024-01-02,M03,S3,CA01,18.3,2024-01
AR00051,2024-01-02,M03,S3,CA06,12.3,2024-01
AR00052,2024-01-02,M03,S3,CA02,96.6,2024-01
AR00053,2024-01-02,M04,S1,CA03,15.5,2024-01
AR00054,2024-01-02,M04,S1,CA07,9.7,2024-01
AR00055,2024-01-02,M04,S1,CA07,11.9,2024-01
AR00056,2024-01-02,M04,S2,CA05,18.4,2024-01
AR00057,2024-01-02,M04,S2,CA07,7.9,2024-01
AR00058,2024-01-02,M04,S3,CA04,36.8,2024-01
AR00059,2024-01-02,M05,S1,CA01,7.7,2024-01
AR00060,2024-01-02,M05,S1,CA03,13.1,2024-01
AR00061,2024-01-02,M05,S1,CA02,2.7,2024-01
AR00062,2024-01-02,M05,S1,CA04,66.8,2024-01
AR00063,2024-01-02,M05,S2,CA03,78.7,2024-01
AR00064,2024-01-02,M05,S2,CA02,30.6,2024-01
AR00065,2024-01-02,M05,S2,CA01,14.5,2024-01
AR00066,2024-01-02,M05,S3,CA08,3.4,2024-01
AR00067,2024-01-02,M05,S3,CA06,15.0,2024-01
AR00068,2024-01-02,M05,S3,CA04,49.5,2024-01
AR00069,2024-01-02,M05,S3,CA01,23.3,2024-01
AR00070,2024-01-03,M01,S1,CA02,3.7,2024-01
AR00071,2024-01-03,M01,S1,CA03,25.9,2024-01
AR00072,2024-01-03,M01,S1,CA01,9.0,2024-01
AR00073,2024-01-03,M01,S1,CA01,16.2,2024-01
AR00074,2024-01-03,M01,S2,CA04,65.0,2024-01
AR00075,2024-01-03,M01,S3,CA01,17.3,2024-01
AR00076,2024-01-03,M01,S3,CA03,24.8,2024-01
AR00077,2024-01-03,M01,S3,CA06,7.9,2024-01
AR00078,2024-01-03,M02,S1,CA06,5.5,2024-01
AR00079,2024-01-03,M02,S1,CA03,88.3,2024-01
AR00080,2024-01-03,M02,S2,CA03,94.6,2024-01
AR00081,2024-01-03,M02,S2,CA05,2.8,2024-01
AR00082,2024-01-03,M02,S3,CA04,8.6,2024-01
AR00083,2024-01-03,M02,S3,CA08,63.7,2024-01
AR00084,2024-01-03,M03,S1,CA02,8.4,2024-01
AR00085,2024-01-03,M03,S1,CA02,100.0,2024-01
AR00086,2024-01-03,M03,S2,CA02,52.5,2024-01
AR00087,2024-01-03,M03,S2,CA07,56.1,2024-01
AR00088,2024-01-03,M03,S2,CA01,9.3,2024-01
AR00089,2024-01-03,M03,S2,CA05,2.6,2024-01
AR00090,2024-01-03,M03,S3,CA03,5.0,2024-01
AR00091,2024-01-03,M03,S3,CA01,48.6,2024-01
AR00092,2024-01-03,M03,S3,CA02,53.5,2024-01
AR00093,2024-01-03,M03,S3,CA05,20.7,2024-01
AR00094,2024-01-03,M04,S1,CA01,20.5,2024-01
AR00095,2024-01-03,M04,S1,CA02,19.0,2024-01
AR00096,2024-01-03,M04,S1,CA06,15.3,2024-01
AR00097,2024-01-03,M04,S2,CA04,11.8,2024-01
AR00098,2024-01-03,M04,S2,CA03,7.8,2024-01
AR00099,2024-01-03,M04,S2,CA07,5.1,2024-01
AR00100,2024-01-03,M04,S3,CA01,39.5,2024-01
AR00101,2024-01-03,M04,S3,CA03,18.6,2024-01
AR00102,2024-01-03,M05,S1,CA01,128.8,2024-01
AR00103,2024-01-03,M05,S2,CA02,114.8,2024-01
AR00104,2024-01-03,M05,S3,CA07,39.4,2024-01
AR00105,2024-01-03,M05,S3,CA06,91.5,2024-01
AR00106,2024-01-04,M01,S1,CA02,19.7,2024-01
AR00107,2024-01-04,M01,S2,CA02,37.3,2024-01
AR00108,2024-01-04,M01,S3,CA01,15.7,2024-01
AR00109,2024-01-04,M01,S3,CA02,7.2,2024-01
AR00110,2024-01-04,M02,S1,CA02,60.1,2024-01
AR00111,2024-01-04,M02,S1,CA03,16.8,2024-01
AR00112,2024-01-04,M02,S2,CA04,75.1,2024-01
AR00113,2024-01-04,M02,S2,CA04,46.4,2024-01
AR00114,2024-01-04,M02,S2,CA08,8.5,2024-01
AR00115,2024-01-04,M02,S3,CA03,77.2,2024-01
AR00116,2024-01-04,M03,S1,CA02,109.2,2024-01
AR00117,2024-01-04,M03,S2,CA02,38.7,2024-01
AR00118,2024-01-04,M03,S3,CA01,35.2,2024-01
AR00119,2024-01-04,M03,S3,CA05,54.5,2024-01
AR00120,2024-01-04,M04,S1,CA01,21.0,2024-01
AR00121,2024-01-04,M04,S2,CA05,18.4,2024-01
AR00122,2024-01-04,M04,S2,CA07,2.3,2024-01
AR00123,2024-01-04,M04,S2,CA03,11.0,2024-01
AR00124,2024-01-04,M04,S3,CA01,41.2,2024-01
AR00125,2024-01-04,M05,S1,CA02,29.5,2024-01
AR00126,2024-01-04,M05,S1,CA03,41.6,2024-01
AR00127,2024-01-04,M05,S1,CA08,46.8,2024-01
AR00128,2024-01-04,M05,S1,CA01,5.7,2024-01
AR00129,2024-01-04,M05,S2,CA03,30.8,2024-01
AR00130,2024-01-04,M05,S2,CA04,20.9,2024-01
AR00131,2024-01-04,M05,S2,CA01,40.4,2024-01
AR00132,2024-01-04,M05,S3,CA03,12.2,2024-01
AR00133,2024-01-04,M05,S3,CA03,46.0,2024-01
AR00134,2024-01-05,M01,S1,CA01,41.6,2024-01
AR00135,2024-01-05,M01,S2,CA02,6.9,2024-01
AR00136,2024-01-05,M01,S2,CA03,5.7,2024-01
AR00137,2024-01-05,M01,S2,CA01,32.3,2024-01
AR00138,2024-01-05,M01,S3,CA05,10.4,2024-01
AR00139,2024-01-05,M01,S3,CA03,21.8,2024-01
AR00140,2024-01-05,M01,S3,CA02,13.2,2024-01
AR00141,2024-01-05,M02,S1,CA06,91.0,2024-01
AR00142,2024-01-05,M02,S1,CA04,11.9,2024-01
AR00143,2024-01-05,M02,S1,CA07,33.4,2024-01
AR00144,2024-01-05,M02,S2,CA08,78.2,2024-01
AR00145,2024-01-05,M02,S3,CA02,16.3,2024-01
AR00146,2024-01-05,M02,S3,CA02,4.1,2024-01
AR00147,2024-01-05,M02,S3,CA03,52.1,2024-01
AR00148,2024-01-05,M03,S1,CA01,92.9,2024-01
AR00149,2024-01-05,M03,S1,CA03,23.6,2024-01
AR00150,2024-01-05,M03,S2,CA03,34.0,2024-01
AR00151,2024-01-05,M03,S2,CA04,60.8,2024-01
AR00152,2024-01-05,M03,S3,CA08,71.6,2024-01
AR00153,2024-01-05,M03,S3,CA07,17.5,2024-01
AR00154,2024-01-05,M03,S3,CA02,88.4,2024-01
AR00155,2024-01-05,M04,S1,CA02,18.0,2024-01
AR00156,2024-01-05,M04,S1,CA01,12.0,2024-01
AR00157,2024-01-05,M04,S2,CA07,10.2,2024-01
AR00158,2024-01-05,M04,S2,CA02,19.0,2024-01
AR00159,2024-01-05,M04,S3,CA03,16.4,2024-01
AR00160,2024-01-05,M04,S3,CA07,11.6,2024-01
AR00161,2024-01-05,M05,S1,CA05,90.4,2024-01
AR00162,2024-01-05,M05,S1,CA04,31.7,2024-01
AR00163,2024-01-05,M05,S2,CA02,91.8,2024-01
AR00164,2024-01-05,M05,S2,CA04,5.7,2024-01
AR00165,2024-01-05,M05,S3,CA01,80.0,2024-01
AR00166,2024-01-06,M01,S1,CA05,24.5,2024-01
AR00167,2024-01-06,M01,S1,CA06,5.7,2024-01
AR00168,2024-01-06,M01,S2,CA08,17.7,2024-01
AR00169,2024-01-06,M01,S2,CA02,18.4,2024-01
AR00170,2024-01-06,M01,S2,CA05,6.0,2024-01
AR00171,2024-01-06,M01,S2,CA06,31.4,2024-01
AR00172,2024-01-06,M02,S1,CA01,3.9,2024-01
AR00173,2024-01-06,M02,S1,CA01,37.1,2024-01
AR00174,2024-01-06,M02,S1,CA01,36.9,2024-01
AR00175,2024-01-06,M02,S2,CA06,13.1,2024-01
AR00176,2024-01-06,M03,S1,CA04,47.4,2024-01
AR00177,2024-01-06,M03,S1,CA04,9.4,2024-01
AR00178,2024-01-06,M03,S1,CA04,54.0,2024-01
AR00179,2024-01-06,M03,S2,CA05,45.3,2024-01
AR00180,2024-01-06,M03,S2,CA03,107.7,2024-01
AR00181,2024-01-06,M04,S1,CA01,12.1,2024-01
AR00182,2024-01-06,M04,S1,CA07,10.6,2024-01
AR00183,2024-01-06,M04,S2,CA05,27.6,2024-01
AR00184,2024-01-06,M04,S2,CA03,13.0,2024-01
AR00185,2024-01-06,M04,S2,CA07,2.6,2024-01
AR00186,2024-01-06,M05,S1,CA03,19.4,2024-01
AR00187,2024-01-06,M05,S1,CA01,39.0,2024-01
AR00188,2024-01-06,M05,S1,CA02,29.0,2024-01
AR00189,2024-01-06,M05,S2,CA06,5.1,2024-01
AR00190,2024-01-06,M05,S2,CA01,4.9,2024-01
AR00191,2024-01-06,M05,S2,CA02,19.7,2024-01
AR00192,2024-01-06,M05,S2,CA03,8.6,2024-01
AR00193,2024-01-08,M01,S1,CA06,54.9,2024-01
AR00194,2024-01-08,M01,S1,CA01,12.6,2024-01
AR00195,2024-01-08,M01,S2,CA07,12.2,2024-01
AR00196,2024-01-08,M01,S2,CA03,14.4,2024-01
AR00197,2024-01-08,M01,S2,CA02,5.9,2024-01
AR00198,2024-01-08,M01,S2,CA03,12.7,2024-01
AR00199,2024-01-08,M01,S3,CA03,36.4,2024-01
AR00200,2024-01-08,M01,S3,CA06,20.9,2024-01
AR00201,2024-01-08,M02,S1,CA05,8.9,2024-01
AR00202,2024-01-08,M02,S1,CA03,25.6,2024-01
AR00203,2024-01-08,M02,S1,CA08,47.1,2024-01
AR00204,2024-01-08,M02,S1,CA04,11.6,2024-01
AR00205,2024-01-08,M02,S2,CA03,132.7,2024-01
AR00206,2024-01-08,M02,S3,CA03,17.7,2024-01
AR00207,2024-01-08,M02,S3,CA07,6.3,2024-01
AR00208,2024-01-08,M02,S3,CA07,11.4,2024-01
AR00209,2024-01-08,M03,S1,CA03,99.2,2024-01
AR00210,2024-01-08,M03,S1,CA03,18.6,2024-01
AR00211,2024-01-08,M03,S2,CA04,109.7,2024-01
AR00212,2024-01-08,M03,S3,CA01,134.9,2024-01
AR00213,2024-01-08,M04,S1,CA03,3.3,2024-01
AR00214,2024-01-08,M04,S1,CA02,9.3,2024-01
AR00215,2024-01-08,M04,S2,CA03,21.1,2024-01
AR00216,2024-01-08,M04,S2,CA03,29.0,2024-01
AR00217,2024-01-08,M04,S2,CA04,14.7,2024-01
AR00218,2024-01-08,M04,S3,CA05,175.7,2024-01
AR00219,2024-01-08,M05,S1,CA03,104.0,2024-01
AR00220,2024-01-08,M05,S1,CA04,9.3,2024-01
AR00221,2024-01-08,M05,S2,CA05,88.8,2024-01
AR00222,2024-01-08,M05,S3,CA01,90.2,2024-01
AR00223,2024-01-09,M01,S1,CA03,52.7,2024-01
AR00224,2024-01-09,M01,S1,CA02,22.8,2024-01
AR00225,2024-01-09,M01,S2,CA01,41.0,2024-01
AR00226,2024-01-09,M01,S3,CA07,13.0,2024-01
AR00227,2024-01-09,M01,S3,CA01,12.0,2024-01
AR00228,2024-01-09,M02,S1,CA05,40.3,2024-01
AR00229,2024-01-09,M02,S1,CA07,21.7,2024-01
AR00230,2024-01-09,M02,S1,CA06,29.2,2024-01
AR00231,2024-01-09,M02,S2,CA01,56.7,2024-01
AR00232,2024-01-09,M02,S3,CA04,16.9,2024-01
AR00233,2024-01-09,M02,S3,CA01,9.5,2024-01
AR00234,2024-01-09,M02,S3,CA05,39.5,2024-01
AR00235,2024-01-09,M02,S3,CA05,17.9,2024-01
AR00236,2024-01-09,M03,S1,CA03,88.8,2024-01
AR00237,2024-01-09,M03,S1,CA03,15.2,2024-01
AR00238,2024-01-09,M03,S2,CA07,28.1,2024-01
AR00239,2024-01-09,M03,S2,CA04,64.2,2024-01
AR00240,2024-01-09,M03,S3,CA01,91.0,2024-01
AR00241,2024-01-09,M03,S3,CA01,70.5,2024-01
AR00242,2024-01-09,M04,S1,CA03,25.0,2024-01
AR00243,2024-01-09,M04,S2,CA05,2.8,2024-01
AR00244,2024-01-09,M04,S2,CA08,24.0,2024-01
AR00245,2024-01-09,M04,S2,CA02,9.9,2024-01
AR00246,2024-01-09,M04,S3,CA01,38.9,2024-01
AR00247,2024-01-09,M04,S3,CA01,7.3,2024-01
AR00248,2024-01-09,M05,S1,CA01,52.3,2024-01
AR00249,2024-01-09,M05,S1,CA06,70.3,2024-01
AR00250,2024-01-09,M05,S2,CA03,115.1,2024-01
AR00251,2024-01-09,M05,S3,CA04,45.6,2024-01
AR00252,2024-01-09,M05,S3,CA01,7.8,2024-01
AR00253,2024-01-09,M05,S3,CA07,29.7,2024-01
AR00254,2024-01-09,M05,S3,CA02,8.7,2024-01
AR00255,2024-01-10,M01,S1,CA03,23.3,2024-01
AR00256,2024-01-10,M01,S1,CA03,15.9,2024-01
AR00257,2024-01-10,M01,S1,CA04,4.3,2024-01
AR00258,2024-01-10,M01,S1,CA01,6.3,2024-01
AR00259,2024-01-10,M01,S2,CA04,28.6,2024-01
AR00260,2024-01-10,M01,S2,CA04,22.6,2024-01
AR00261,2024-01-10,M01,S2,CA06,21.3,2024-01
AR00262,2024-01-10,M01,S3,CA01,20.0,2024-01
AR00263,2024-01-10,M02,S1,CA05,84.8,2024-01
AR00264,2024-01-10,M02,S2,CA01,255.6,2024-01
AR00265,2024-01-10,M02,S3,CA05,177.4,2024-01
AR00266,2024-01-10,M03,S1,CA02,41.3,2024-01
AR00267,2024-01-10,M03,S1,CA01,49.2,2024-01
AR00268,2024-01-10,M03,S1,CA01,9.9,2024-01
AR00269,2024-01-10,M03,S2,CA01,80.5,2024-01
AR00270,2024-01-10,M03,S2,CA02,27.6,2024-01
AR00271,2024-01-10,M03,S3,CA08,81.2,2024-01
AR00272,2024-01-10,M03,S3,CA05,70.0,2024-01
AR00273,2024-01-10,M04,S1,CA08,10.7,2024-01
AR00274,2024-01-10,M04,S1,CA01,2.8,2024-01
AR00275,2024-01-10,M04,S2,CA02,6.1,2024-01
AR00276,2024-01-10,M04,S2,CA07,26.8,2024-01
AR00277,2024-01-10,M04,S2,CA06,14.3,2024-01
AR00278,2024-01-10,M05,S1,CA07,41.4,2024-01
AR00279,2024-01-10,M05,S1,CA01,12.1,2024-01
AR00280,2024-01-10,M05,S1,CA03,27.6,2024-01
AR00281,2024-01-10,M05,S1,CA01,34.8,2024-01
AR00282,2024-01-10,M05,S2,CA02,19.0,2024-01
AR00283,2024-01-10,M05,S2,CA03,52.7,2024-01
AR00284,2024-01-10,M05,S2,CA02,48.8,2024-01
AR00285,2024-01-10,M05,S3,CA04,33.9,2024-01
AR00286,2024-01-10,M05,S3,CA01,10.6,2024-01
AR00287,2024-01-11,M01,S1,CA03,76.7,2024-01
AR00288,2024-01-11,M01,S2,CA03,7.5,2024-01
AR00289,2024-01-11,M01,S2,CA07,2.3,2024-01
AR00290,2024-01-11,M01,S3,CA03,54.0,2024-01
AR00291,2024-01-11,M01,S3,CA08,41.3,2024-01
AR00292,2024-01-11,M02,S1,CA07,29.4,2024-01
AR00293,2024-01-11,M02,S1,CA04,12.8,2024-01
AR00294,2024-01-11,M02,S2,CA03,4.3,2024-01
AR00295,2024-01-11,M02,S2,CA04,16.5,2024-01
AR00296,2024-01-11,M02,S2,CA03,20.5,2024-01
AR00297,2024-01-11,M02,S2,CA01,42.5,2024-01
AR00298,2024-01-11,M02,S3,CA05,39.3,2024-01
AR00299,2024-01-11,M02,S3,CA08,23.7,2024-01
AR00300,2024-01-11,M03,S1,CA01,112.3,2024-01
AR00301,2024-01-11,M03,S2,CA04,7.2,2024-01
AR00302,2024-01-11,M03,S2,CA01,6.8,2024-01
AR00303,2024-01-11,M03,S2,CA07,15.0,2024-01
AR00304,2024-01-11,M03,S2,CA06,137.1,2024-01
AR00305,2024-01-11,M03,S3,CA03,13.4,2024-01
AR00306,2024-01-11,M03,S3,CA02,12.7,2024-01
AR00307,2024-01-11,M03,S3,CA04,77.0,2024-01
AR00308,2024-01-11,M04,S1,CA01,14.3,2024-01
AR00309,2024-01-11,M04,S1,CA02,20.0,2024-01
AR00310,2024-01-11,M04,S2,CA02,4.1,2024-01
AR00311,2024-01-11,M04,S3,CA02,21.9,2024-01
AR00312,2024-01-11,M05,S1,CA06,5.2,2024-01
AR00313,2024-01-11,M05,S1,CA01,78.8,2024-01
AR00314,2024-01-11,M05,S1,CA02,42.1,2024-01
AR00315,2024-01-11,M05,S2,CA05,79.5,2024-01
AR00316,2024-01-11,M05,S2,CA04,33.5,2024-01
AR00317,2024-01-11,M05,S2,CA01,29.7,2024-01
AR00318,2024-01-11,M05,S2,CA01,6.4,2024-01
AR00319,2024-01-11,M05,S3,CA07,37.6,2024-01
AR00320,2024-01-11,M05,S3,CA07,36.6,2024-01
AR00321,2024-01-11,M05,S3,CA03,32.0,2024-01
AR00322,2024-01-12,M01,S1,CA06,15.3,2024-01
AR00323,2024-01-12,M01,S1,CA04,20.3,2024-01
AR00324,2024-01-12,M01,S1,CA03,15.8,2024-01
AR00325,2024-01-12,M01,S2,CA07,34.2,2024-01
AR00326,2024-01-12,M01,S2,CA04,2.9,2024-01
AR00327,2024-01-12,M01,S2,CA02,41.7,2024-01
AR00328,2024-01-12,M01,S2,CA06,16.9,2024-01
AR00329,2024-01-12,M01,S3,CA07,2.3,2024-01
AR00330,2024-01-12,M01,S3,CA01,31.4,2024-01
AR00331,2024-01-12,M01,S3,CA03,15.1,2024-01
AR00332,2024-01-12,M01,S3,CA04,6.9,2024-01
AR00333,2024-01-12,M02,S1,CA04,29.2,2024-01
AR00334,2024-01-12,M02,S1,CA01,97.1,2024-01
AR00335,2024-01-12,M02,S2,CA06,22.7,2024-01
AR00336,2024-01-12,M02,S2,CA07,89.0,2024-01
AR00337,2024-01-12,M02,S2,CA03,3.7,2024-01
AR00338,2024-01-12,M02,S3,CA02,29.5,2024-01
AR00339,2024-01-12,M02,S3,CA01,56.3,2024-01
AR00340,2024-01-12,M03,S1,CA04,26.8,2024-01
AR00341,2024-01-12,M03,S1,CA07,3.4,2024-01
AR00342,2024-01-12,M03,S1,CA04,31.4,2024-01
AR00343,2024-01-12,M03,S1,CA03,33.9,2024-01
AR00344,2024-01-12,M03,S2,CA07,121.9,2024-01
AR00345,2024-01-12,M03,S3,CA05,60.6,2024-01
AR00346,2024-01-12,M03,S3,CA02,62.3,2024-01
AR00347,2024-01-12,M03,S3,CA01,46.1,2024-01
AR00348,2024-01-12,M04,S1,CA01,2.1,2024-01
AR00349,2024-01-12,M04,S1,CA07,4.5,2024-01
AR00350,2024-01-12,M04,S1,CA03,12.9,2024-01
AR00351,2024-01-12,M04,S1,CA06,26.4,2024-01
AR00352,2024-01-12,M04,S2,CA02,2.6,2024-01
AR00353,2024-01-12,M04,S2,CA02,24.4,2024-01
AR00354,2024-01-12,M04,S2,CA01,11.9,2024-01
AR00355,2024-01-12,M04,S3,CA06,43.3,2024-01
AR00356,2024-01-12,M05,S1,CA03,164.4,2024-01
AR00357,2024-01-12,M05,S2,CA06,50.7,2024-01
AR00358,2024-01-12,M05,S3,CA01,88.5,2024-01
AR00359,2024-01-13,M01,S1,CA05,16.0,2024-01
AR00360,2024-01-13,M01,S1,CA03,31.4,2024-01
AR00361,2024-01-13,M01,S1,CA06,8.4,2024-01
AR00362,2024-01-13,M01,S2,CA06,28.7,2024-01
AR00363,2024-01-13,M01,S2,CA01,21.1,2024-01
AR00364,2024-01-13,M02,S1,CA02,37.2,2024-01
AR00365,2024-01-13,M02,S1,CA01,68.0,2024-01
AR00366,2024-01-13,M02,S2,CA05,28.6,2024-01
AR00367,2024-01-13,M02,S2,CA03,13.6,2024-01
AR00368,2024-01-13,M02,S2,CA01,11.4,2024-01
AR00369,2024-01-13,M03,S1,CA05,113.7,2024-01
AR00370,2024-01-13,M03,S2,CA02,93.8,2024-01
AR00371,2024-01-13,M04,S1,CA01,48.1,2024-01
AR00372,2024-01-13,M04,S2,CA01,6.2,2024-01
AR00373,2024-01-13,M05,S1,CA04,26.3,2024-01
AR00374,2024-01-13,M05,S1,CA02,61.0,2024-01
AR00375,2024-01-13,M05,S1,CA02,29.3,2024-01
AR00376,2024-01-13,M05,S2,CA02,21.4,2024-01
AR00377,2024-01-13,M05,S2,CA02,26.2,2024-01
AR00378,2024-01-13,M05,S2,CA03,75.1,2024-01
AR00379,2024-01-15,M01,S1,CA02,47.7,2024-01
AR00380,2024-01-15,M01,S2,CA02,46.5,2024-01
AR00381,2024-01-15,M01,S2,CA01,29.4,2024-01
AR00382,2024-01-15,M01,S3,CA02,42.1,2024-01
AR00383,2024-01-15,M02,S1,CA04,18.8,2024-01
AR00384,2024-01-15,M02,S1,CA02,35.5,2024-01
AR00385,2024-01-15,M02,S1,CA08,3.3,2024-01
AR00386,2024-01-15,M02,S2,CA04,22.4,2024-01
AR00387,2024-01-15,M02,S2,CA01,42.8,2024-01
AR00388,2024-01-15,M02,S2,CA02,40.0,2024-01
AR00389,2024-01-15,M02,S3,CA04,28.9,2024-01
AR00390,2024-01-15,M02,S3,CA01,91.8,2024-01
AR00391,2024-01-15,M02,S3,CA01,22.8,2024-01
AR00392,2024-01-15,M03,S1,CA01,105.3,2024-01
AR00393,2024-01-15,M03,S2,CA01,188.3,2024-01
AR00394,2024-01-15,M03,S3,CA01,13.1,2024-01
AR00395,2024-01-15,M03,S3,CA04,62.9,2024-01
AR00396,2024-01-15,M03,S3,CA04,39.3,2024-01
AR00397,2024-01-15,M03,S3,CA07,29.4,2024-01
AR00398,2024-01-15,M04,S1,CA04,13.7,2024-01
AR00399,2024-01-15,M04,S1,CA02,2.3,2024-01
AR00400,2024-01-15,M04,S1,CA06,17.7,2024-01
AR00401,2024-01-15,M04,S1,CA05,6.8,2024-01
AR00402,2024-01-15,M04,S2,CA08,22.9,2024-01
AR00403,2024-01-15,M04,S3,CA04,4.8,2024-01
AR00404,2024-01-15,M04,S3,CA01,4.0,2024-01
AR00405,2024-01-15,M04,S3,CA06,2.1,2024-01
AR00406,2024-01-15,M04,S3,CA05,3.3,2024-01
AR00407,2024-01-15,M05,S1,CA03,80.7,2024-01
AR00408,2024-01-15,M05,S2,CA03,33.5,2024-01
AR00409,2024-01-15,M05,S2,CA08,2.7,2024-01
AR00410,2024-01-15,M05,S2,CA01,4.0,2024-01
AR00411,2024-01-15,M05,S2,CA07,74.7,2024-01
AR00412,2024-01-15,M05,S3,CA07,2.1,2024-01
AR00413,2024-01-15,M05,S3,CA03,6.4,2024-01
AR00414,2024-01-15,M05,S3,CA05,55.1,2024-01
AR00415,2024-01-16,M01,S1,CA06,17.5,2024-01
AR00416,2024-01-16,M01,S1,CA07,46.2,2024-01
AR00417,2024-01-16,M01,S2,CA03,10.5,2024-01
AR00418,2024-01-16,M01,S2,CA01,17.5,2024-01
AR00419,2024-01-16,M01,S2,CA01,8.2,2024-01
AR00420,2024-01-16,M01,S2,CA03,8.3,2024-01
AR00421,2024-01-16,M02,S1,CA02,27.6,2024-01
AR00422,2024-01-16,M02,S1,CA02,14.8,2024-01
AR00423,2024-01-16,M02,S2,CA03,34.0,2024-01
AR00424,2024-01-16,M02,S2,CA03,82.6,2024-01
AR00425,2024-01-16,M02,S3,CA02,82.1,2024-01
AR00426,2024-01-16,M03,S1,CA06,125.8,2024-01
AR00427,2024-01-16,M03,S2,CA03,59.8,2024-01
AR00428,2024-01-16,M03,S2,CA03,44.2,2024-01
AR00429,2024-01-16,M03,S3,CA04,44.9,2024-01
AR00430,2024-01-16,M03,S3,CA08,22.0,2024-01
AR00431,2024-01-16,M04,S1,CA01,2.3,2024-01
AR00432,2024-01-16,M04,S1,CA02,11.3,2024-01
AR00433,2024-01-16,M04,S1,CA05,2.3,2024-01
AR00434,2024-01-16,M04,S1,CA03,9.7,2024-01
AR00435,2024-01-16,M04,S2,CA04,7.9,2024-01
AR00436,2024-01-16,M04,S2,CA02,19.8,2024-01
AR00437,2024-01-16,M04,S3,CA01,22.8,2024-01
AR00438,2024-01-16,M05,S1,CA05,110.9,2024-01
AR00439,2024-01-16,M05,S2,CA01,5.5,2024-01
AR00440,2024-01-16,M05,S2,CA04,32.4,2024-01
AR00441,2024-01-16,M05,S2,CA02,29.0,2024-01
AR00442,2024-01-16,M05,S3,CA06,125.3,2024-01
AR00443,2024-01-17,M01,S1,CA02,11.9,2024-01
AR00444,2024-01-17,M01,S1,CA03,23.6,2024-01
AR00445,2024-01-17,M01,S2,CA05,21.1,2024-01
AR00446,2024-01-17,M01,S3,CA02,14.4,2024-01
AR00447,2024-01-17,M01,S3,CA04,29.8,2024-01
AR00448,2024-01-17,M01,S3,CA01,25.0,2024-01
AR00449,2024-01-17,M01,S3,CA02,3.0,2024-01
